Patients,Ranks_Top_20
P_NCT02872025,2
P_NCT03048942,0
P_NCT02448420,0
P_NCT03740893,0
P_NCT03315364,2
P_NCT03428802,0
P_NCT02583828,15
P_NCT02344472,0
P_NCT02187991,0
P_NCT01785420,0
P_NCT03324425,10
P_NCT03546686,0
P_NCT03025035,0
P_NCT02095184,0
P_NCT02760030,8
P_NCT03500380,10
P_NCT03515798,2
P_NCT03272334,0
P_NCT02977468,0
P_NCT02627248,0
P_NCT03747120,0
P_NCT02926690,0
P_NCT02716116,13
P_NCT01817452,0
P_NCT03596073,2
P_NCT02965950,1
P_NCT02632448,0
P_NCT02615457,1
P_NCT03090165,10
P_NCT03685331,0
